
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-532-199	3	OFF	19.000	ON	1013	30.000	40%	200x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	17.750	1012	100.000	20.950	53.200	21.712	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	

TeX4:	Measuring Time (ms)	Offset ('C)	Correction Factor	----------	Settings of	Temperature	Extension	Module TeX4 with	Firmware	0.00	
Ch 1	300	0.000	1.000	

Data	Smoothing:	1	
Date:	8/14/2020	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/14/2020	12:21:23	0.00		239.81	---	---	---	19.000	---	---	---	1021.97	63.427	---	---	---	21.680	---	---	---	119.739	---	---	---	5.605	---	---	---	
8/14/2020	12:21:25	2.00		239.81	---	---	---	19.000	---	---	---	1021.89	63.374	---	---	---	21.680	---	---	---	119.800	---	---	---	7.062	---	---	---	
8/14/2020	12:21:27	4.00		240.00	---	---	---	19.000	---	---	---	1021.89	63.374	---	---	---	21.671	---	---	---	119.681	---	---	---	6.783	---	---	---	
8/14/2020	12:21:29	6.00		239.94	---	---	---	19.000	---	---	---	1021.83	63.374	---	---	---	21.674	---	---	---	119.759	---	---	---	6.768	---	---	---	
8/14/2020	12:21:31	8.00		239.92	---	---	---	19.000	---	---	---	1021.91	63.343	---	---	---	21.675	---	---	---	119.782	---	---	---	6.642	---	---	---	
8/14/2020	12:21:33	10.00		239.77	---	---	---	19.000	---	---	---	1021.89	63.343	---	---	---	21.682	---	---	---	119.786	---	---	---	6.911	---	---	---	
8/14/2020	12:21:35	12.00		239.66	---	---	---	19.000	---	---	---	1021.97	63.343	---	---	---	21.687	---	---	---	119.748	---	---	---	6.983	---	---	---	
8/14/2020	12:21:37	14.00		240.28	---	---	---	19.000	---	---	---	1021.83	63.343	---	---	---	21.658	---	---	---	119.786	---	---	---	6.515	---	---	---	
8/14/2020	12:21:39	16.00		240.23	---	---	---	19.000	---	---	---	1021.91	63.343	---	---	---	21.660	---	---	---	119.744	---	---	---	6.835	---	---	---	
8/14/2020	12:21:41	18.00		240.21	---	---	---	19.000	---	---	---	1021.80	63.343	---	---	---	21.661	---	---	---	119.616	---	---	---	6.775	---	---	---	
8/14/2020	12:21:43	20.00		240.16	---	---	---	19.000	---	---	---	1021.94	63.343	---	---	---	21.663	---	---	---	119.687	---	---	---	6.491	---	---	---	
8/14/2020	12:21:45	22.00		240.61	---	---	---	19.000	---	---	---	1021.83	63.343	---	---	---	21.642	---	---	---	119.693	---	---	---	7.131	---	---	---	
8/14/2020	12:21:47	24.00		239.79	---	---	---	19.000	---	---	---	1021.83	63.343	---	---	---	21.681	---	---	---	119.745	---	---	---	6.816	---	---	---	
