millis,temp,output
154,18.23,0.00
1152,18.20,0.00
2148,18.23,0.00
3145,18.20,0.00
4143,18.23,0.00
5139,18.27,0.00
6136,18.23,0.00
7134,18.16,0.00
8130,18.20,0.00
9127,18.27,0.00
10125,18.27,0.00
11122,18.23,0.00
12119,18.23,0.00
13116,18.23,0.00
14113,18.23,0.00
15111,18.27,0.00
16107,18.27,0.00
17104,18.27,0.00
18102,18.20,0.00
19098,18.23,0.00
20096,18.23,0.00
21093,18.30,0.00
22090,18.27,0.00
23087,18.30,0.00
24084,18.20,0.00
25081,18.27,0.00
26079,18.27,0.00
27075,18.30,0.00
28072,18.27,0.00
29070,18.27,0.00
30067,18.27,0.00
31064,18.30,0.00
32061,18.33,0.00
33058,18.30,0.00
34055,18.30,0.00
35052,18.27,0.00
36049,18.30,0.00
37047,18.33,0.00
38043,18.37,0.00
39041,18.33,0.00
40038,18.33,0.00
41035,18.27,0.00
42032,18.27,0.00
43029,18.30,0.00
44026,18.33,0.00
45024,18.37,0.00
46020,18.37,0.00
47017,18.30,0.00
48015,18.33,0.00
49012,18.33,0.00
50009,18.33,0.00
51006,18.33,0.00
52003,18.33,0.00
53001,18.33,0.00
53997,18.37,0.00
54994,18.33,0.00
55992,18.33,0.00
56988,18.37,0.00
57986,18.40,0.00
58983,18.40,0.00
59980,18.40,0.00
60977,18.47,0.00
61974,18.67,0.00
62971,18.81,0.00
63969,18.84,0.00
64965,18.87,0.00
65963,18.94,0.00
66960,19.01,2.06
67957,19.08,2.06
68954,19.14,35.83
69951,19.14,35.83
70948,19.14,35.83
71946,19.24,35.83
72943,19.24,61.18
73939,19.31,61.18
74937,19.38,94.94
75934,19.35,94.94
76932,19.28,69.59
77929,19.41,69.59
78925,19.48,120.24
79923,19.48,120.24
80920,19.38,94.94
81917,19.45,94.94
82915,19.51,128.71
83912,19.62,128.71
84910,19.68,170.94
85906,19.58,170.94
86903,19.58,145.59
87901,19.55,145.59
88898,19.62,154.01
89895,19.58,154.01
90893,19.65,162.47
91890,19.62,162.47
92887,19.65,162.47
93884,19.65,162.47
94881,19.62,154.01
95879,19.58,154.01
96876,19.65,162.47
97873,19.62,162.47
98871,19.58,145.59
99867,19.48,145.59
100865,19.55,137.18
101862,19.55,137.18
102859,19.38,94.94
103857,19.58,94.94
104854,19.41,103.36
105851,19.51,103.36
106849,19.35,86.48
107845,19.38,86.48
108843,19.35,86.48
109840,19.31,86.48
110837,19.28,69.59
111835,19.31,69.59
112832,19.31,78.06
113829,19.24,78.06
114827,19.14,35.83
115823,19.08,35.83
116820,19.14,35.83
117818,19.11,35.83
118815,19.11,27.41
119813,19.11,27.41
120810,19.11,27.41
121806,19.04,27.41
122804,19.04,10.53
123801,19.11,10.53
124798,18.97,0.00
125796,19.01,0.00
126793,19.01,2.06
127790,19.01,2.06
128787,18.97,0.00
129784,18.97,0.00
130782,18.94,0.00
131779,18.91,0.00
132775,18.91,0.00
133773,18.94,0.00
134770,18.97,0.00
135768,18.97,0.00
136764,18.97,0.00
137761,18.97,0.00
138759,18.97,0.00
139756,19.01,0.00
140753,18.94,0.00
141750,18.94,0.00
142747,18.94,0.00
143745,18.97,0.00
144742,19.04,10.53
145739,19.01,10.53
146736,19.08,19.00
147733,19.08,19.00
148730,19.04,10.53
149728,19.08,10.53
150725,19.11,27.41
151723,19.14,27.41
152720,19.11,27.41
153716,19.11,27.41
154714,19.18,44.30
155711,19.11,44.30
156708,19.21,52.71
157706,19.18,52.71
158703,19.21,52.71
159700,19.24,52.71
160697,19.28,69.59
161694,19.28,69.59
162692,19.24,61.18
163689,19.28,61.18
164686,19.28,69.59
165684,19.28,69.59
166681,19.31,78.06
167677,19.28,78.06
168675,19.35,86.48
169672,19.45,86.48
170670,19.31,78.06
171667,19.41,78.06
172664,19.35,86.48
173662,19.35,86.48
174658,19.38,94.94
175655,19.38,94.94
176653,19.38,94.94
177650,19.31,94.94
178648,19.38,94.94
179645,19.35,94.94
180642,19.31,78.06
181639,19.31,78.06
182636,19.38,94.94
183633,19.31,94.94
184631,19.31,78.06
185628,19.31,78.06
186626,19.21,52.71
187622,19.28,52.71
188619,19.28,69.59
189617,19.31,69.59
190614,19.21,52.71
191611,19.11,52.71
192609,19.24,61.18
193606,19.21,61.18
194604,19.28,69.59
195600,19.14,69.59
196597,19.21,52.71
197595,19.14,52.71
198592,19.18,44.30
199589,19.11,44.30
200587,19.18,44.30
201584,19.08,44.30
202580,19.11,27.41
203578,19.14,27.41
204575,18.97,0.00
205573,19.04,0.00
206570,19.08,19.00
207566,19.01,19.00
208564,19.08,19.00
209561,19.08,19.00
210558,19.01,2.06
211556,19.04,2.06
212553,18.97,0.00
213550,19.01,0.00
214547,19.01,2.06
215544,19.04,2.06
216542,19.01,2.06
217539,19.01,2.06
218535,19.04,10.53
219533,19.04,10.53
220530,19.04,10.53
221528,19.11,10.53
222525,19.11,27.41
223522,19.08,27.41
224520,19.11,27.41
225516,19.18,27.41
226513,19.11,27.41
227511,19.11,27.41
228508,19.18,44.30
229506,19.11,44.30
230503,19.21,52.71
231500,19.14,52.71
232497,19.18,44.30
233494,19.21,44.30
234491,19.21,52.71
235489,19.28,52.71
236486,19.18,44.30
237484,19.24,44.30
238481,19.28,69.59
239477,19.21,69.59
240475,19.28,69.59
241472,19.28,69.59
242469,19.28,69.59
243467,19.31,69.59
244464,19.24,61.18
245462,19.31,61.18
246458,19.28,69.59
247455,19.28,69.59
248453,19.31,78.06
249450,19.24,78.06
250447,19.31,78.06
251445,19.28,78.06
252442,19.31,78.06
253438,19.24,78.06
254436,19.28,69.59
255433,19.28,69.59
256431,19.31,78.06
257428,19.24,78.06
258425,19.31,78.06
259423,19.28,78.06
260419,19.28,69.59
261416,19.28,69.59
262414,19.24,61.18
263411,19.28,61.18
264409,19.24,61.18
265406,19.28,61.18
266403,19.24,61.18
267400,19.31,61.18
268397,19.28,69.59
269394,19.24,69.59
270392,19.24,61.18
271389,19.18,61.18
272387,19.28,69.59
273383,19.18,69.59
274380,19.24,61.18
275378,19.21,61.18
276375,19.18,44.30
277372,19.21,44.30
278370,19.14,35.83
279367,19.14,35.83
280365,19.14,35.83
281361,19.14,35.83
282358,18.97,0.00
283356,19.18,0.00
284353,19.11,27.41
285350,19.11,27.41
286348,19.18,44.30
287344,19.14,44.30
288342,19.08,19.00
289339,19.04,19.00
290336,19.01,2.06
291334,19.11,2.06
292331,19.08,19.00
293327,19.04,19.00
294325,19.04,10.53
295322,19.08,10.53
296320,19.04,10.53
297317,19.04,10.53
298314,19.08,19.00
299311,19.08,19.00
300308,19.21,52.71
301305,19.08,52.71
302303,19.14,35.83
303300,19.18,35.83
304297,19.11,27.41
305295,19.11,27.41
306291,19.11,27.41
307289,19.21,27.41
308286,19.14,35.83
309283,19.21,35.83
310281,19.21,52.71
311278,19.14,52.71
312275,19.28,69.59
313272,19.21,69.59
314269,19.24,61.18
315267,19.24,61.18
316264,19.24,61.18
317261,19.28,61.18
318259,19.21,52.71
319256,19.21,52.71
320253,19.28,69.59
321250,19.24,69.59
322247,19.31,78.06
323245,19.24,78.06
324242,19.28,69.59
325239,19.28,69.59
326237,19.28,69.59
327233,19.24,69.59
328230,19.28,69.59
329228,19.28,69.59
330225,19.31,78.06
331223,19.28,78.06
332220,19.28,69.59
333217,19.21,69.59
334214,19.28,69.59
335211,19.35,69.59
336208,19.24,61.18
337206,19.28,61.18
338203,19.28,69.59
339201,19.24,69.59
340198,19.24,61.18
341194,19.24,61.18
342192,19.28,69.59
343189,19.18,69.59
344186,19.24,61.18
345184,19.18,61.18
346181,19.21,52.71
347179,19.24,52.71
348176,19.18,44.30
349172,19.18,44.30
350170,19.21,52.71
351167,19.18,52.71
352164,19.11,27.41
353162,19.11,27.41
354159,19.11,27.41
355155,19.08,27.41
356153,19.14,35.83
357150,19.18,35.83
358148,19.14,35.83
359145,19.18,35.83
360142,19.08,19.00
361140,19.04,19.00
362137,18.81,0.00
363133,18.70,0.00
364131,18.67,0.00
365128,18.60,0.00
366126,18.54,0.00
367122,18.50,0.00
368119,18.43,0.00
369117,18.37,0.00
370114,18.33,0.00
371111,18.33,0.00
372108,18.30,0.00
373105,18.27,0.00
374103,18.23,0.00
375100,18.20,0.00
376096,18.20,0.00
377094,18.20,0.00
378091,18.23,0.00
379088,18.23,0.00
380086,18.20,0.00
381082,18.16,0.00
382080,18.20,0.00
383077,18.16,0.00
384074,18.16,0.00
385071,18.13,0.00
386068,18.16,0.00
387065,18.13,0.00
388063,18.16,0.00
389060,18.16,0.00
390056,18.16,0.00
391054,18.13,0.00
392051,18.10,0.00
393049,18.10,0.00
394045,18.10,0.00
395042,18.13,0.00
396040,18.10,0.00
397037,18.10,0.00
398034,18.13,0.00
399031,18.16,0.00
400028,18.16,0.00
401026,18.16,0.00
402023,18.16,0.00
403019,18.20,0.00
404017,18.16,0.00
405014,18.16,0.00
406011,18.16,0.00
407009,18.16,0.00
408005,18.16,0.00
409003,18.13,0.00
410000,18.16,0.00
410997,18.16,0.00
411995,18.20,0.00
412991,18.23,0.00
413988,18.23,0.00
414986,18.23,0.00
415983,18.23,0.00
416979,18.20,0.00
417977,18.16,0.00
418974,18.20,0.00
419972,18.27,0.00
420969,18.30,0.00
421965,18.27,0.00
422963,18.27,0.00
423960,18.20,0.00
424957,18.27,0.00
425954,18.30,0.00
426951,18.27,0.00
427949,18.27,0.00
428946,18.23,0.00
429943,18.27,0.00
430940,18.30,0.00
431937,18.33,0.00
432934,18.30,0.00
433932,18.27,0.00
434928,18.33,0.00
435926,18.33,0.00
436923,18.33,0.00
437920,18.33,0.00
438918,18.30,0.00
439914,18.30,0.00
440911,18.33,0.00
441909,18.33,0.00
442906,18.37,0.00
443904,18.37,0.00
444900,18.37,0.00
445897,18.40,0.00
446895,18.40,0.00
447892,18.43,0.00
448888,18.43,0.00
449886,18.40,0.00
450883,18.37,0.00
451880,18.37,0.00
452878,18.40,0.00
453874,18.43,0.00
454872,18.43,0.00
455869,18.43,0.00
456866,18.40,0.00
457863,18.43,0.00
458860,18.47,0.00
459857,18.47,0.00
460855,18.47,0.00
461852,18.43,0.00
462849,18.43,0.00
463846,18.50,0.00
464843,18.47,0.00
465841,18.47,0.00
466837,18.47,0.00
467834,18.54,0.00
468832,18.54,0.00
469829,18.54,0.00
470827,18.50,0.00
471823,18.50,0.00
472820,18.47,0.00
473818,18.47,0.00
474815,18.54,0.00
475812,18.54,0.00
476809,18.57,0.00
477806,18.57,0.00
478803,18.57,0.00
479801,18.60,0.00
480797,18.54,0.00
481795,18.54,0.00
482792,18.50,0.00
483789,18.54,0.00
484787,18.50,0.00
485783,18.60,0.00
486780,18.60,0.00
487778,18.60,0.00
