millis,temp,output
154,19.28,0.00
1152,19.31,54.64
2148,19.31,54.64
3145,19.28,48.72
4143,19.28,48.72
5140,19.28,48.72
6136,19.35,48.72
7134,19.38,66.46
8131,19.31,66.46
9128,19.31,54.64
10125,19.38,54.64
11122,19.28,48.72
12120,19.35,48.72
13117,19.35,60.53
14114,19.28,60.53
15112,19.31,54.64
16108,19.04,54.64
17105,19.18,31.01
18103,19.11,31.01
19100,18.94,0.00
20098,18.97,0.00
21094,18.94,0.00
22091,18.87,0.00
23089,18.84,0.00
24086,18.81,0.00
25082,18.81,0.00
26080,18.77,0.00
27077,18.84,0.00
28073,18.81,0.00
29071,18.81,0.00
30068,18.77,0.00
31066,18.77,0.00
32062,18.77,0.00
33059,18.81,0.00
34057,18.87,0.00
35054,18.91,0.00
36050,18.91,0.00
37048,18.94,0.00
38045,18.91,0.00
39043,18.91,0.00
40039,18.94,0.00
41036,18.97,0.00
42034,19.01,0.00
43031,19.01,1.44
44027,19.04,1.44
45025,19.18,31.01
46022,19.08,31.01
47020,19.14,25.08
48016,19.18,25.08
49013,19.18,31.01
50011,19.14,31.01
51008,19.14,25.08
52005,19.04,25.08
53003,19.14,25.08
53999,19.18,25.08
54996,19.11,19.19
55994,19.14,19.19
56991,19.14,25.08
57989,19.11,25.08
58985,19.11,19.19
59982,19.01,19.19
60980,19.14,25.08
61977,19.08,25.08
62974,19.11,19.19
63971,19.14,19.19
64968,19.18,31.01
65966,19.24,31.01
66963,19.31,54.64
67960,19.38,54.64
68958,19.35,60.53
69954,19.45,60.53
70951,19.45,78.28
71949,19.48,78.28
72946,19.51,90.10
73944,19.48,90.10
74940,19.48,84.17
75937,19.58,84.17
76935,19.45,78.28
77932,19.41,78.28
78929,19.48,84.17
79926,19.35,84.17
80923,19.45,78.28
81921,19.28,78.28
82918,19.28,48.72
83915,19.18,48.72
84913,19.04,7.37
85909,19.14,7.37
86906,19.11,19.19
87904,19.01,19.19
88901,18.97,0.00
89897,18.97,0.00
90895,18.94,0.00
91892,18.87,0.00
92890,18.87,0.00
93886,18.91,0.00
94883,18.91,0.00
95881,18.87,0.00
96878,18.91,0.00
97874,18.94,0.00
98872,19.01,1.44
99869,19.04,1.44
100867,19.01,1.44
101863,19.01,1.44
102860,19.11,19.19
103858,19.11,19.19
104855,19.21,36.90
105852,19.21,36.90
106850,19.24,42.82
107846,19.31,42.82
108844,19.35,60.53
109841,19.28,60.53
110838,19.28,48.72
111836,19.41,48.72
112833,19.38,66.46
113830,19.38,66.46
114828,19.38,66.46
115824,19.28,66.46
116822,19.38,66.46
117819,19.31,66.46
118816,19.28,48.72
119814,19.24,48.72
120811,19.28,48.72
121807,19.18,48.72
122805,19.08,13.30
123802,19.18,13.30
124800,19.11,19.19
125797,19.11,19.19
126794,19.04,7.37
127792,18.97,7.37
128788,19.01,1.44
129785,19.04,1.44
130783,19.04,7.37
131780,19.01,7.37
132777,19.11,19.19
133774,19.04,19.19
134771,19.08,13.30
135769,19.08,13.30
136766,19.08,13.30
137763,19.11,13.30
138761,19.21,36.90
139758,19.14,36.90
140755,19.14,25.08
141752,19.14,25.08
142749,19.21,36.90
143747,19.31,36.90
144744,19.24,42.82
145741,19.31,42.82
146739,19.28,48.72
147735,19.24,48.72
148732,19.31,54.64
149730,19.28,54.64
150727,19.38,66.46
151725,19.24,66.46
152722,19.21,36.90
153719,19.28,36.90
154717,19.21,36.90
155713,19.28,36.90
156710,19.18,31.01
157708,19.21,31.01
158705,19.24,42.82
159703,19.01,42.82
160700,19.14,25.08
161696,19.18,25.08
162694,19.11,19.19
163691,19.11,19.19
164688,19.11,19.19
165686,19.14,19.19
166683,19.11,19.19
167681,19.11,19.19
168678,19.08,13.30
169674,19.11,13.30
170672,19.11,19.19
171669,19.04,19.19
172666,19.04,7.37
173664,19.14,7.37
174661,19.18,31.01
175657,19.14,31.01
176655,19.21,36.90
177652,19.14,36.90
178650,19.24,42.82
179647,19.18,42.82
180644,19.18,31.01
181642,19.18,31.01
182638,19.24,42.82
183635,19.28,42.82
184633,19.24,42.82
185630,19.28,42.82
186628,19.21,36.90
187625,19.28,36.90
188622,19.21,36.90
189619,19.24,36.90
190616,19.18,31.01
191613,19.21,31.01
192611,19.35,60.53
193608,19.14,60.53
194606,19.04,7.37
195602,19.21,7.37
196599,19.18,31.01
197597,19.01,31.01
198594,19.14,25.08
199591,19.14,25.08
200589,19.14,25.08
201586,19.14,25.08
202583,19.18,31.01
203580,19.08,31.01
204577,19.11,19.19
205575,19.18,19.19
206572,19.14,25.08
207569,19.14,25.08
208567,19.18,31.01
209563,19.11,31.01
210561,19.18,31.01
211558,19.18,31.01
212555,19.18,31.01
213553,19.14,31.01
214550,19.31,54.64
215546,19.14,54.64
216544,19.21,36.90
217541,19.18,36.90
218539,19.24,42.82
219536,19.18,42.82
220533,19.18,31.01
221531,19.11,31.01
222528,19.14,25.08
223524,19.24,25.08
224522,19.21,36.90
225519,19.08,36.90
226516,19.18,31.01
227514,19.11,31.01
228511,19.11,19.19
229508,19.14,19.19
230505,19.14,25.08
231502,19.14,25.08
232500,19.11,19.19
233497,19.04,19.19
234494,19.21,36.90
235492,19.18,36.90
236489,19.14,25.08
237486,19.18,25.08
238483,19.08,13.30
239480,19.11,13.30
240478,19.14,25.08
241475,19.14,25.08
242472,19.14,25.08
243469,19.21,25.08
244466,19.21,36.90
245464,19.24,36.90
246461,19.21,36.90
247458,19.21,36.90
248456,19.21,36.90
249453,19.24,36.90
250449,19.18,31.01
251447,19.28,31.01
252444,19.24,42.82
253442,19.24,42.82
254439,19.24,42.82
255436,19.31,42.82
256434,19.24,42.82
257430,19.24,42.82
258427,19.21,36.90
259425,19.21,36.90
260422,19.18,31.01
261420,19.18,31.01
262417,19.14,25.08
263414,19.04,25.08
264411,19.14,25.08
265408,19.14,25.08
266405,19.18,31.01
267403,19.14,31.01
268400,19.11,19.19
269398,19.11,19.19
270395,19.14,25.08
271391,19.21,25.08
272389,19.18,31.01
273386,19.14,31.01
274383,19.08,13.30
275381,19.18,13.30
276378,19.24,42.82
277376,19.18,42.82
278372,19.14,25.08
279369,19.11,25.08
280367,19.24,42.82
281364,19.21,42.82
282361,19.21,36.90
283359,19.21,36.90
284356,19.24,42.82
285352,19.11,42.82
286350,19.14,25.08
287347,19.28,25.08
288345,19.21,36.90
289342,19.11,36.90
290339,19.28,48.72
291337,19.14,48.72
292333,19.11,19.19
293330,19.24,19.19
294328,19.21,36.90
295325,19.18,36.90
296323,19.14,25.08
297320,19.11,25.08
298317,19.21,36.90
299314,19.08,36.90
300311,19.11,19.19
301308,19.18,19.19
302306,19.11,19.19
303303,19.18,19.19
304301,19.14,25.08
305297,19.08,25.08
306294,19.14,25.08
307292,19.14,25.08
308289,19.21,36.90
309286,19.08,36.90
310284,19.14,25.08
311281,19.24,25.08
312278,19.21,36.90
313275,19.18,36.90
314272,19.14,25.08
315270,19.14,25.08
316267,19.18,31.01
317264,19.24,31.01
318262,19.28,48.72
319258,19.21,48.72
320256,19.31,54.64
321253,19.21,54.64
322250,19.24,42.82
323248,19.21,42.82
324245,19.24,42.82
325242,19.24,42.82
326239,19.18,31.01
327236,19.21,31.01
328233,19.18,31.01
329231,19.14,31.01
330228,19.01,1.44
331226,19.08,1.44
332223,19.04,7.37
333219,19.08,7.37
334217,19.11,19.19
335214,19.08,19.19
336211,19.11,19.19
337209,19.04,19.19
338206,19.08,13.30
339203,19.11,13.30
340200,19.21,36.90
341197,19.14,36.90
342195,19.21,36.90
343192,19.18,36.90
344189,19.24,42.82
345186,19.18,42.82
346183,19.31,54.64
347181,19.21,54.64
348178,19.24,42.82
349175,19.31,42.82
350173,19.28,48.72
351170,19.35,48.72
352167,19.14,25.08
353164,19.21,25.08
354161,19.31,54.64
355159,19.18,54.64
356156,19.28,48.72
357153,19.18,48.72
358151,19.28,48.72
359147,19.14,48.72
360144,19.21,36.90
361142,19.08,36.90
362139,18.97,0.00
363137,18.81,0.00
364134,18.74,0.00
365130,18.60,0.00
366128,18.54,0.00
367125,18.50,0.00
368122,18.47,0.00
369120,18.40,0.00
370116,18.40,0.00
371113,18.37,0.00
372111,18.40,0.00
373108,18.40,0.00
374105,18.37,0.00
375102,18.37,0.00
376099,18.40,0.00
377097,18.43,0.00
378094,18.43,0.00
379090,18.47,0.00
380088,18.50,0.00
381085,18.50,0.00
382083,18.54,0.00
383079,18.57,0.00
384076,18.60,0.00
385074,18.64,0.00
386071,18.64,0.00
387068,18.64,0.00
388065,18.64,0.00
389062,18.67,0.00
390060,18.67,0.00
391057,18.70,0.00
392054,18.74,0.00
393051,18.74,0.00
394048,18.77,0.00
395045,18.81,0.00
396043,18.84,0.00
397039,18.84,0.00
398036,18.87,0.00
399034,18.87,0.00
400031,18.87,0.00
401029,18.87,0.00
402025,18.91,0.00
403022,18.91,0.00
404020,18.91,0.00
405017,18.94,0.00
406013,18.97,0.00
407011,19.01,0.00
408008,19.01,1.44
409006,19.11,1.44
410003,19.11,19.19
410999,19.08,19.19
411997,19.08,13.30
412994,19.04,13.30
413991,19.18,31.01
414989,19.11,31.01
415986,19.11,19.19
416984,19.24,19.19
417981,19.14,25.08
418977,19.14,25.08
419975,19.14,25.08
420972,19.14,25.08
421969,19.18,31.01
422967,19.18,31.01
423964,19.11,19.19
424961,19.11,19.19
425958,18.94,0.00
426955,19.08,0.00
427953,19.08,13.30
428950,18.97,13.30
429947,19.08,13.30
430944,19.04,13.30
431941,19.04,7.37
432939,19.08,7.37
433936,19.11,19.19
434933,19.11,19.19
435931,19.04,7.37
436927,19.01,7.37
437924,19.01,1.44
438922,18.97,1.44
439919,19.01,1.44
440916,19.11,1.44
441913,19.01,1.44
442910,19.01,1.44
443908,19.04,7.37
444905,19.04,7.37
445902,19.11,19.19
446900,19.08,19.19
447896,19.08,13.30
448893,19.11,13.30
449891,19.18,31.01
450888,19.04,31.01
451886,19.18,31.01
452883,19.14,31.01
453880,19.14,25.08
454877,19.11,25.08
455874,19.14,25.08
456871,19.14,25.08
457869,19.14,25.08
458866,19.21,25.08
459864,19.11,19.19
460860,19.08,19.19
461857,19.04,7.37
462855,19.18,7.37
463852,19.08,13.30
464849,19.01,13.30
465847,19.04,7.37
466843,18.97,7.37
467841,19.01,1.44
468838,18.97,1.44
469835,19.08,13.30
470833,19.04,13.30
471830,19.04,7.37
472826,18.97,7.37
473824,19.01,1.44
474821,18.97,1.44
475819,19.11,19.19
476816,19.04,19.19
477813,19.11,19.19
478810,19.08,19.19
479807,19.01,1.44
480804,19.08,1.44
481802,19.11,19.19
482799,19.11,19.19
483796,19.08,13.30
484794,19.08,13.30
485790,19.11,19.19
486788,19.08,19.19
487785,19.08,13.30
488782,19.31,13.30
489780,19.11,19.19
490777,19.04,19.19
491774,19.11,19.19
492771,19.14,19.19
493768,19.11,19.19
494766,19.11,19.19
495763,19.11,19.19
496760,19.11,19.19
497758,19.08,13.30
498755,19.08,13.30
499751,19.04,7.37
500749,19.14,7.37
501746,18.97,0.00
502744,19.04,0.00
503741,19.04,7.37
504737,19.01,7.37
505735,19.11,19.19
506732,19.11,19.19
507729,19.04,7.37
508727,19.04,7.37
509724,19.11,19.19
510721,19.11,19.19
511718,19.14,25.08
512715,19.11,25.08
513713,19.11,19.19
514710,19.18,19.19
515707,19.11,19.19
516705,19.08,19.19
517701,19.04,7.37
518699,19.04,7.37
519696,19.01,1.44
520693,19.21,1.44
521691,19.14,25.08
522687,19.04,25.08
523684,19.11,19.19
524682,19.08,19.19
525679,19.08,13.30
526676,18.97,13.30
527674,19.04,7.37
528671,19.08,7.37
529668,19.08,13.30
530665,19.04,13.30
531662,19.04,7.37
532660,19.04,7.37
533657,19.08,13.30
534654,19.11,13.30
535651,19.11,19.19
536648,19.14,19.19
537646,19.08,13.30
538643,19.08,13.30
539640,19.11,19.19
540638,19.01,19.19
541635,19.08,13.30
542631,19.14,13.30
543629,19.14,25.08
544626,19.14,25.08
545624,19.14,25.08
546621,19.14,25.08
547618,19.04,7.37
548615,19.04,7.37
549612,19.08,13.30
550609,19.11,13.30
551607,19.11,19.19
552604,19.14,19.19
553602,19.14,25.08
554599,19.01,25.08
555595,18.87,0.00
556593,19.04,0.00
557590,19.04,7.37
558587,19.04,7.37
559585,18.97,0.00
560581,19.08,0.00
561579,19.08,13.30
562576,19.01,13.30
563573,19.11,19.19
564571,19.08,19.19
565568,19.04,7.37
566564,19.11,7.37
567562,19.11,19.19
568559,19.11,19.19
569556,19.18,31.01
570554,18.97,31.01
571551,19.11,19.19
572549,19.01,19.19
573545,19.08,13.30
574542,19.08,13.30
575540,19.01,1.44
576537,19.08,1.44
577534,19.08,13.30
578532,19.11,13.30
579528,19.11,19.19
580526,19.04,19.19
581523,19.04,7.37
582520,19.14,7.37
583518,19.08,13.30
584515,19.04,13.30
585512,19.11,19.19
586509,19.11,19.19
587506,19.11,19.19
588504,19.11,19.19
589501,19.04,7.37
590498,19.11,7.37
591496,19.08,13.30
592492,19.01,13.30
593489,18.91,0.00
594487,19.08,0.00
595484,19.08,13.30
596482,19.04,13.30
597479,19.08,13.30
598475,19.11,13.30
599473,19.08,13.30
600470,19.14,13.30
601467,19.14,25.08
602465,19.01,25.08
603462,19.11,19.19
604459,19.11,19.19
605456,19.14,25.08
606453,19.08,25.08
607451,19.18,31.01
608448,19.18,31.01
609445,19.11,19.19
610443,19.04,19.19
611440,19.11,19.19
612436,19.14,19.19
613434,19.04,7.37
614431,19.04,7.37
615429,19.08,13.30
616426,19.08,13.30
617423,19.08,13.30
618420,19.04,13.30
619417,19.04,7.37
620414,19.01,7.37
621412,19.01,1.44
622409,19.08,1.44
623407,18.94,0.00
624403,19.01,0.00
625400,19.04,7.37
626398,18.97,7.37
627395,18.97,0.00
628391,19.04,0.00
629389,19.04,7.37
630386,19.04,7.37
631384,19.08,13.30
632381,19.08,13.30
633378,19.14,25.08
634375,19.11,25.08
635372,19.18,31.01
636369,19.24,31.01
637367,19.04,7.37
638364,19.21,7.37
639362,19.21,36.90
640358,19.18,36.90
641355,19.18,31.01
642353,19.21,31.01
643350,19.14,25.08
644347,19.14,25.08
645345,19.04,7.37
646342,19.04,7.37
647339,19.14,25.08
648336,19.21,25.08
649333,19.04,7.37
650331,19.11,7.37
651328,19.01,1.44
652325,19.08,1.44
653322,18.94,0.00
654319,19.01,0.00
655316,19.01,1.44
656314,19.08,1.44
657311,19.08,13.30
658308,19.04,13.30
659305,19.01,1.44
660302,19.14,1.44
661300,19.11,19.19
662297,19.31,19.19
663294,19.41,72.35
664291,19.51,72.35
665288,19.51,90.10
666286,19.68,90.10
667283,19.65,113.73
668280,19.72,113.73
669278,19.58,101.91
670275,19.75,101.91
671272,19.75,131.48
672270,19.72,131.48
673266,19.68,119.66
674264,19.65,119.66
675261,19.51,90.10
676258,19.51,90.10
677256,19.55,96.02
678253,19.38,96.02
679250,19.38,66.46
680248,19.21,66.46
681244,19.18,31.01
682242,19.11,31.01
683239,19.01,1.44
684236,18.84,1.44
685234,18.91,0.00
686231,18.81,0.00
687227,18.81,0.00
688225,18.81,0.00
689222,18.81,0.00
690220,18.77,0.00
691216,18.77,0.00
692213,18.77,0.00
693211,18.77,0.00
694208,18.81,0.00
695205,18.77,0.00
696202,18.81,0.00
697199,18.87,0.00
698196,18.87,0.00
699194,18.91,0.00
700190,19.01,0.00
701188,19.04,7.37
702185,19.01,7.37
703182,19.11,19.19
704180,19.18,19.19
705177,19.24,42.82
706173,19.28,42.82
707171,19.24,42.82
708168,19.24,42.82
709166,19.31,54.64
710163,19.35,54.64
711160,19.28,48.72
712158,19.38,48.72
713154,19.38,66.46
714151,19.38,66.46
715149,19.35,60.53
716146,19.35,60.53
717144,19.35,60.53
718141,19.35,60.53
719138,19.24,42.82
720135,19.35,42.82
721132,19.31,54.64
722129,19.18,54.64
723127,19.24,42.82
724124,19.24,42.82
725122,19.18,31.01
726119,19.14,31.01
727115,19.11,19.19
728113,19.04,19.19
729110,19.04,7.37
730107,19.04,7.37
731105,19.04,7.37
732102,19.08,7.37
733099,19.01,1.44
734096,19.04,1.44
735093,18.94,0.00
736091,19.04,0.00
737088,19.08,13.30
738084,19.14,13.30
739082,19.14,25.08
740079,19.21,25.08
741076,19.18,31.01
742074,19.24,31.01
743071,19.14,25.08
744069,19.21,25.08
745065,19.24,42.82
746062,19.28,42.82
747060,19.28,48.72
748057,19.35,48.72
749054,19.38,66.46
750052,19.31,66.46
751049,19.24,42.82
752046,19.48,42.82
753043,19.35,60.53
754040,19.35,60.53
755038,19.35,60.53
756035,19.21,60.53
757032,19.35,60.53
758030,19.21,60.53
759027,19.18,31.01
760024,19.18,31.01
761021,19.21,36.90
762018,19.18,36.90
763016,19.14,25.08
764013,19.14,25.08
765010,19.14,25.08
766007,19.14,25.08
767004,19.04,7.37
768002,19.04,7.37
768999,18.94,0.00
769996,19.01,0.00
770994,19.04,7.37
771990,19.04,7.37
772987,19.01,1.44
773985,19.01,1.44
774982,18.97,0.00
775980,19.04,0.00
776976,19.11,19.19
777973,19.04,19.19
778971,19.21,36.90
779968,19.24,36.90
780965,19.21,36.90
781963,19.11,36.90
782959,19.24,42.82
783956,19.31,42.82
784954,19.35,60.53
785951,19.31,60.53
786949,19.45,78.28
787946,19.24,78.28
788943,19.38,66.46
789940,19.28,66.46
790937,19.35,60.53
791934,19.24,60.53
792932,19.35,60.53
793929,19.28,60.53
794927,19.18,31.01
795924,19.18,31.01
796921,19.18,31.01
797918,19.11,31.01
798915,19.14,25.08
799912,19.04,25.08
800910,19.08,13.30
801907,19.08,13.30
802905,19.08,13.30
803901,19.08,13.30
804898,19.11,19.19
805896,19.01,19.19
806893,18.97,0.00
807890,19.01,0.00
808888,19.04,7.37
809884,18.97,7.37
810882,19.08,13.30
811879,19.01,13.30
812876,19.08,13.30
813874,19.04,13.30
814871,19.14,25.08
815867,19.14,25.08
816865,19.18,31.01
817862,19.18,31.01
818860,19.24,42.82
819857,19.28,42.82
820854,19.31,54.64
821852,19.31,54.64
822849,19.14,25.08
823845,19.35,25.08
824843,19.31,54.64
825840,19.31,54.64
826838,19.28,48.72
827835,19.31,48.72
828832,19.28,48.72
829829,19.28,48.72
830826,19.28,48.72
831823,19.21,48.72
832821,19.21,36.90
833818,19.18,36.90
834816,19.18,31.01
835813,19.11,31.01
836810,19.18,31.01
837807,19.14,31.01
838804,19.21,36.90
839801,19.14,36.90
840799,19.14,25.08
841796,19.11,25.08
842793,19.11,19.19
843790,19.08,19.19
844787,19.11,19.19
845785,19.04,19.19
846782,19.14,25.08
847779,19.01,25.08
848777,19.04,7.37
849774,19.08,7.37
850770,19.04,7.37
851768,19.11,7.37
852765,19.04,7.37
853763,19.14,7.37
854760,19.08,13.30
855756,19.11,13.30
856754,19.21,36.90
