
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-532-199	3	OFF	19.000	ON	1013	35.100	40%	200x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	19.000	1017	100.000	20.950	53.200	21.821	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	

TeX4:	Measuring Time (ms)	Offset ('C)	Correction Factor	----------	Settings of	Temperature	Extension	Module TeX4 with	Firmware	0.00	
Ch 1	300	0.000	1.000	

Data	Smoothing:	1	
Date:	8/19/2020	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/19/2020	09:10:37	0.00		196.52	---	---	---	19.000	---	---	---	1014.43	61.131	---	---	---	23.953	---	---	---	110.691	---	---	---	5.559	---	---	---	
8/19/2020	09:10:39	2.00		196.76	---	---	---	19.000	---	---	---	1014.31	61.192	---	---	---	23.939	---	---	---	110.687	---	---	---	5.893	---	---	---	
8/19/2020	09:10:41	4.00		196.78	---	---	---	19.000	---	---	---	1014.31	61.192	---	---	---	23.937	---	---	---	110.910	---	---	---	6.109	---	---	---	
8/19/2020	09:10:43	6.00		196.97	---	---	---	19.000	---	---	---	1014.34	61.192	---	---	---	23.926	---	---	---	110.892	---	---	---	5.941	---	---	---	
8/19/2020	09:10:45	8.00		196.65	---	---	---	19.000	---	---	---	1014.31	61.192	---	---	---	23.945	---	---	---	110.898	---	---	---	6.076	---	---	---	
8/19/2020	09:10:47	10.00		196.65	---	---	---	19.000	---	---	---	1014.31	61.192	---	---	---	23.945	---	---	---	110.964	---	---	---	5.948	---	---	---	
8/19/2020	09:10:49	12.00		194.87	---	---	---	19.000	---	---	---	1014.40	61.192	---	---	---	24.053	---	---	---	111.482	---	---	---	6.133	---	---	---	
8/19/2020	09:10:51	14.00		193.20	---	---	---	19.000	---	---	---	1014.31	61.192	---	---	---	24.156	---	---	---	112.051	---	---	---	5.889	---	---	---	
8/19/2020	09:10:53	16.00		191.63	---	---	---	19.000	---	---	---	1014.31	61.192	---	---	---	24.253	---	---	---	112.528	---	---	---	6.196	---	---	---	
8/19/2020	09:10:55	18.00		189.95	---	---	---	19.000	---	---	---	1014.40	61.192	---	---	---	24.358	---	---	---	112.998	---	---	---	6.141	---	---	---	
8/19/2020	09:10:57	20.00		188.68	---	---	---	19.000	---	---	---	1014.34	61.131	---	---	---	24.437	---	---	---	113.382	---	---	---	6.151	---	---	---	
8/19/2020	09:10:59	22.00		187.63	---	---	---	19.000	---	---	---	1014.37	61.131	---	---	---	24.504	---	---	---	113.716	---	---	---	6.014	---	---	---	
8/19/2020	09:11:01	24.00		187.02	---	---	---	19.000	---	---	---	1014.34	61.192	---	---	---	24.543	---	---	---	113.940	---	---	---	6.095	---	---	---	
8/19/2020	09:11:03	26.00		186.51	---	---	---	19.000	---	---	---	1014.40	61.192	---	---	---	24.576	---	---	---	114.202	---	---	---	6.099	---	---	---	
8/19/2020	09:11:05	28.00		185.97	---	---	---	19.000	---	---	---	1014.31	61.192	---	---	---	24.610	---	---	---	114.244	---	---	---	5.985	---	---	---	
