"octo","blue","red","delta_area","on1","off1","on2","delta_metab","mass","per","temp_cor"
1,3.184222222,1.68,1.504222222,41.4395759442058,-10.8914897754194,23.0747249845556,43.1486402398001,136,28.6850171528712,16.4752160082825
2,1.937454545,1.220666667,0.716787878,53.3925451867717,-22.6500099173555,51.4472990177583,75.0699320196205,153,104.731028974824,60.1521803502635
3,0.9604285714,0.484,0.4764285714,28.1788095027579,-4.14758252656473,17.2243430421497,26.8491587990185,59,56.3550559533435,32.3674800346858
4,2.6795,1.881,0.7985,56.7495904283155,-13.8728549462081,34.2392034956608,59.3672519081963,85,74.3484682632389,42.7019815952659
6,1.281333333,0.8228,0.458533333,56.7353461446838,20.5681090909088,39.9175934468528,27.7583607048595,46,60.5372798597818,34.7695368954632
8,2.146222222,0.6823333333,1.463888889,103.708185594519,27.87025134952,65.5797686914196,56.7737257934493,188,38.7828107857504,22.2748754758763
9,1.398111111,0.6193333333,0.7787777777,40.3570652028384,20.5664259740259,34.8732116992658,17.0487124770262,152,21.8916268096105,12.5734378522043
10,2.5975,0.449,2.1485,108.813389393537,24.2096708029311,53.0722429703876,56.7331453790312,218,26.4059322220299,15.1662254528045
11,2.709,0.144,2.565,74.8988039849038,-0.990743801653264,48.6808854731166,62.7805885306635,85,24.4758629749175,14.0576917682103
12,4.0226,1.5945,2.4281,75.9552715466351,36.7444689492324,62.4124763872491,32.4394050177097,390,13.3599954770025,7.67330241360028
13,3.500875,1.409666667,2.091208333,97.3131805401717,18.5695990554899,61.636663055782,60.9053227424869,189,29.1244644454498,16.7276121993289
16,0.931875,0.3153333333,0.6165416667,80.2375890651048,29.9785685950413,16.8628813053496,18.5716665901859,26.5,30.1223219666394,17.3007308458849
17,3.316333333,0.517,2.799333333,56.3777418364082,10.9052585596221,59.701551868937,47.1343882930505,308,16.8377190874005,9.67073010879955
