"octo","on1","on1.o2","on1.temp","off1","off1.o2","off1.temp","on2","on2.o2","on2.temp","off2","off2.o2","off2.temp","lognumber","mass"
1,41.4395759442058,168.389111357246,19.1780666888682,-10.8914897754194,166.090413223141,19.0801055967854,23.0747249845556,166.362709601292,19.1723124915054,-4.48111855784662,164.39348468769,19.0367520253499,1,136
2,53.3925451867717,191.483343273409,19.2039401233849,-22.6500099173555,192.136033057851,19.0921066257008,51.4472990177583,190.124207551857,19.2242452483976,-23.4054319437765,186.15581337174,19.0451124524574,2,153
3,28.1788095027579,216.46093550311,19.2169122075747,-4.14758252656473,213.23694214876,19.103696297332,17.2243430421497,215.044349770215,19.2206497833511,-1.7197056426721,211.526403123105,19.0866717298169,4,59
4,56.7495904283155,232.595467325552,19.1773321962822,-13.8728549462081,222.669834710744,18.7235898112485,34.2392034956608,219.437282325177,19.2092759241326,-32.4481838444369,211.569842328684,18.7991492161505,5,85
5,151.971519649182,228.668746837578,19.1014323888137,18.1619787485238,213.650578512397,18.8171819777102,88.217417536081,203.975012294074,19.1392151704041,-2.9909979667808,192.441320528211,18.8154992481237,6,155
6,56.7353461446838,227.498168186078,18.9414364090582,20.5681090909088,222.624545454545,18.9563417642366,39.9175934468528,218.553108309527,18.8453392712839,-0.441510507470202,215.682079290479,18.8318245346623,7,46
7,48.0895612365368,186.021082813291,19.2087497919444,-19.4901837701967,182.580495867769,19.0211044753697,32.1049471122569,183.175227440374,19.2114403167902,-22.6468865785901,179.746712184874,19.0102374816144,9,41
8,103.708185594519,251.139652555237,19.1462975905837,27.87025134952,242.346198347107,19.0284524333819,65.5797686914196,237.743136218343,19.0829550309172,26.3119950611189,230.613205282113,18.9621791225654,10,188
9,40.3570652028384,234.823464258328,19.228611949012,20.5664259740259,229.849834710744,19.0978821259882,34.8732116992658,227.772114644144,19.2022671416106,23.1126080750703,223.55890388114,19.0607490271416,11,152
10,108.813389393537,255.367431270029,19.1130250923553,24.2096708029311,245.31479338843,19.0311236246372,53.0722429703876,243.385520039341,19.1123373436991,12.5247941903102,237.476767707083,19.0301745215011,13,218
11,74.8988039849038,242.775425872828,19.1705349516805,-0.990743801653264,236.228925619835,19.0642047857841,48.6808854731166,236.344300467175,19.1733132833782,-5.6817841214966,230.648963085234,19.0035926000479,14,85
12,75.9552715466351,221.628443526171,19.1853171934475,36.7444689492324,212.078760330579,19.043100022679,62.4124763872491,209.619909638554,19.1327216790105,24.17718570919,202.341194852941,18.994589225233,15,390
13,97.3131805401717,217.846724035103,19.1762460870999,18.5695990554899,209.493223140496,19.0622203684728,61.636663055782,206.714698795181,19.1363921795885,16.3075972836151,200.784235900546,19.0357335968359,16,189
14,88.3799806804761,218.451540195342,19.2022049746273,6.1878726876922,210.927685950413,19.0884237217726,91.4749974151115,206.747310453937,19.1985591219056,8.7124480427709,198.569250594177,19.0909505783739,23,NA
15,37.6237489036864,226.890453702142,19.0837360935321,13.210363636363,222.113553719008,19.0203338599339,14.6316496195379,220.900390951561,19.0553393764327,-5.86776441536051,216.766326530612,18.8935990980868,24,155.5
16,80.2375890651048,227.433245292664,19.1606029337653,29.9785685950413,218.846859504132,19.0779916879748,16.8628813053496,216.048607626382,19.1281283370963,-1.90731813804214,208.970162219527,18.942201752171,25,26.5
17,56.3777418364082,206.822697452501,19.2458637615856,10.9052585596221,201.192561983471,19.0851254835907,59.701551868937,198.774931685505,19.1513959800655,5.13989322138562,193.66151531231,18.9952705675399,26,308
