
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-532-199	3	OFF	19.000	ON	1013	30.000	40%	200x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	21.000	1009	100.000	20.950	53.200	22.076	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	

TeX4:	Measuring Time (ms)	Offset ('C)	Correction Factor	----------	Settings of	Temperature	Extension	Module TeX4 with	Firmware	0.00	
Ch 1	300	0.000	1.000	

Data	Smoothing:	1	
Date:	8/16/2020	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/16/2020	16:25:35	0.00		251.50	---	---	---	19.000	---	---	---	1009.24	62.656	---	---	---	21.789	---	---	---	110.183	---	---	---	5.568	---	---	---	
8/16/2020	16:25:37	2.00		251.39	---	---	---	19.000	---	---	---	1009.06	62.695	---	---	---	21.795	---	---	---	110.117	---	---	---	6.434	---	---	---	
8/16/2020	16:25:39	4.00		251.57	---	---	---	19.000	---	---	---	1009.00	62.717	---	---	---	21.786	---	---	---	110.199	---	---	---	6.240	---	---	---	
8/16/2020	16:25:41	6.00		251.49	---	---	---	19.000	---	---	---	1009.12	62.687	---	---	---	21.790	---	---	---	110.232	---	---	---	6.250	---	---	---	
8/16/2020	16:25:43	8.00		251.62	---	---	---	19.000	---	---	---	1009.12	62.687	---	---	---	21.784	---	---	---	110.212	---	---	---	6.313	---	---	---	
8/16/2020	16:25:45	10.00		251.51	---	---	---	19.000	---	---	---	1009.15	62.748	---	---	---	21.789	---	---	---	110.273	---	---	---	6.198	---	---	---	
8/16/2020	16:25:47	12.00		252.15	---	---	---	19.000	---	---	---	1009.06	62.748	---	---	---	21.760	---	---	---	110.264	---	---	---	6.226	---	---	---	
8/16/2020	16:25:49	14.00		248.03	---	---	---	19.000	---	---	---	1009.09	62.748	---	---	---	21.950	---	---	---	111.270	---	---	---	6.232	---	---	---	
8/16/2020	16:25:51	16.00		242.91	---	---	---	19.000	---	---	---	1009.12	62.748	---	---	---	22.191	---	---	---	112.660	---	---	---	6.458	---	---	---	
8/16/2020	16:25:53	18.00		240.45	---	---	---	19.000	---	---	---	1009.12	62.748	---	---	---	22.309	---	---	---	113.316	---	---	---	6.237	---	---	---	
8/16/2020	16:25:55	20.00		237.08	---	---	---	19.000	---	---	---	1009.15	62.748	---	---	---	22.473	---	---	---	113.989	---	---	---	6.253	---	---	---	
8/16/2020	16:25:57	22.00		234.56	---	---	---	19.000	---	---	---	1009.03	62.778	---	---	---	22.597	---	---	---	114.553	---	---	---	6.309	---	---	---	
8/16/2020	16:25:59	24.00		232.69	---	---	---	19.000	---	---	---	1009.06	62.748	---	---	---	22.691	---	---	---	115.122	---	---	---	6.267	---	---	---	
8/16/2020	16:26:01	26.00		230.83	---	---	---	19.000	---	---	---	1009.09	62.748	---	---	---	22.785	---	---	---	115.644	---	---	---	6.341	---	---	---	
8/16/2020	16:26:03	28.00		229.67	---	---	---	19.000	---	---	---	1009.09	62.748	---	---	---	22.844	---	---	---	115.955	---	---	---	6.464	---	---	---	
8/16/2020	16:26:05	30.00		228.14	---	---	---	19.000	---	---	---	1009.18	62.748	---	---	---	22.922	---	---	---	116.229	---	---	---	6.266	---	---	---	
