millis,temp,output
154,20.29,0.00
1152,20.22,214.24
2148,20.26,214.24
3145,20.26,220.13
4143,20.26,220.13
5140,20.22,214.24
6137,20.26,214.24
7134,20.26,220.13
8131,20.36,220.13
9128,20.16,202.38
10126,20.29,202.38
11123,20.26,220.13
12121,20.26,220.13
13118,20.26,220.13
14114,20.26,220.13
15112,20.22,214.24
16109,20.22,214.24
17106,20.22,214.24
18104,20.33,214.24
19101,20.09,190.57
20099,19.99,190.57
21096,19.85,149.22
22092,19.75,149.22
23090,19.62,107.81
24087,19.51,107.81
25084,19.35,60.53
26082,19.21,60.53
27079,19.04,7.37
28076,18.84,7.37
29073,18.70,0.00
30070,18.50,0.00
31068,18.33,0.00
32064,18.20,0.00
33061,18.06,0.00
34059,17.93,0.00
35056,17.83,0.00
36052,17.73,0.00
37050,17.59,0.00
38047,17.52,0.00
39044,17.46,0.00
40041,17.46,0.00
41038,17.49,0.00
42036,17.42,0.00
43032,17.46,0.00
44029,17.39,0.00
45027,17.46,0.00
46024,17.39,0.00
47021,17.42,0.00
48018,17.39,0.00
49015,17.46,0.00
50013,17.49,0.00
51009,17.46,0.00
52006,17.49,0.00
53004,17.52,0.00
54001,17.52,0.00
54998,17.59,0.00
55995,17.52,0.00
56992,17.62,0.00
57989,17.66,0.00
58986,17.62,0.00
59983,17.69,0.00
60981,17.76,0.00
61977,17.86,0.00
62974,18.00,0.00
63972,18.03,0.00
64969,18.10,0.00
65966,18.16,0.00
66963,18.27,0.00
67960,18.30,0.00
68958,18.37,0.00
69954,18.43,0.00
70951,18.40,0.00
71949,18.47,0.00
72946,18.57,0.00
73943,18.54,0.00
74940,18.60,0.00
75937,18.60,0.00
76935,18.74,0.00
77931,18.84,0.00
78928,18.87,0.00
79926,18.94,0.00
80922,18.97,0.00
81920,19.08,0.00
82917,19.08,13.30
83914,19.11,13.30
84912,19.18,31.01
85908,19.28,31.01
86905,19.24,42.82
87903,19.28,42.82
88900,19.38,66.46
89897,19.35,66.46
90894,19.38,66.46
91891,19.38,66.46
92889,19.45,78.28
93886,19.78,78.28
94883,19.51,90.10
95880,19.48,90.10
96877,19.48,84.17
97874,19.48,84.17
98872,19.51,90.10
99869,19.68,90.10
100867,19.51,90.10
101863,19.48,90.10
102860,19.48,84.17
103858,19.45,84.17
104855,19.38,66.46
105852,19.41,66.46
106850,19.45,78.28
107846,19.45,78.28
108844,19.41,72.35
109841,19.48,72.35
110838,19.31,54.64
111836,19.31,54.64
112833,19.31,54.64
113830,19.31,54.64
114828,19.21,36.90
115824,19.18,36.90
116822,19.18,31.01
117819,19.14,31.01
118816,19.11,19.19
119814,19.14,19.19
120811,19.14,25.08
121807,18.91,25.08
122805,18.97,0.00
123802,19.01,0.00
124800,18.94,0.00
125797,19.01,0.00
