
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.317	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Sensor Spot, FTC (normal range)	umol/l	OFF	SC7-532-199	3	OFF	19.000	ON	1013	35.100	40%	200x	10	ON fiber length	2.00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 1	Factory 0% Calibration	Air with 100% Humidity or Air Saturated Water	20.000	19.000	1014	100.000	20.950	53.200	23.550	0.804	0.122	4000	0.969	-0.056	0.811	0.000	-0.000303	0.000	

TeX4:	Measuring Time (ms)	Offset ('C)	Correction Factor	----------	Settings of	Temperature	Extension	Module TeX4 with	Firmware	0.00	
Ch 1	300	0.000	1.000	

Data	Smoothing:	1	
Date:	8/19/2020	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
8/19/2020	09:47:40	0.00		261.72	---	---	---	19.000	---	---	---	1014.17	60.558	---	---	---	22.293	---	---	---	137.686	---	---	---	5.503	---	---	---	
8/19/2020	09:47:42	2.00		261.74	---	---	---	19.000	---	---	---	1014.17	60.558	---	---	---	22.292	---	---	---	137.721	---	---	---	6.292	---	---	---	
8/19/2020	09:47:44	4.00		261.70	---	---	---	19.000	---	---	---	1014.17	60.558	---	---	---	22.294	---	---	---	137.756	---	---	---	6.410	---	---	---	
8/19/2020	09:47:46	6.00		261.93	---	---	---	19.000	---	---	---	1014.11	60.558	---	---	---	22.284	---	---	---	137.720	---	---	---	6.414	---	---	---	
8/19/2020	09:47:48	8.00		262.04	---	---	---	19.000	---	---	---	1014.17	60.558	---	---	---	22.279	---	---	---	137.714	---	---	---	6.413	---	---	---	
8/19/2020	09:47:50	10.00		261.50	---	---	---	19.000	---	---	---	1014.17	60.558	---	---	---	22.303	---	---	---	137.783	---	---	---	6.430	---	---	---	
8/19/2020	09:47:52	12.00		261.38	---	---	---	19.000	---	---	---	1014.17	60.558	---	---	---	22.308	---	---	---	137.853	---	---	---	6.504	---	---	---	
8/19/2020	09:47:54	14.00		260.09	---	---	---	19.000	---	---	---	1014.08	60.558	---	---	---	22.366	---	---	---	138.366	---	---	---	6.305	---	---	---	
8/19/2020	09:47:56	16.00		256.85	---	---	---	19.000	---	---	---	1014.11	60.528	---	---	---	22.512	---	---	---	139.255	---	---	---	6.361	---	---	---	
8/19/2020	09:47:58	18.00		254.72	---	---	---	19.000	---	---	---	1014.17	60.528	---	---	---	22.609	---	---	---	139.928	---	---	---	6.309	---	---	---	
8/19/2020	09:48:00	20.00		252.98	---	---	---	19.000	---	---	---	1014.20	60.528	---	---	---	22.689	---	---	---	140.415	---	---	---	6.444	---	---	---	
8/19/2020	09:48:02	22.00		251.69	---	---	---	19.000	---	---	---	1014.23	60.528	---	---	---	22.748	---	---	---	140.870	---	---	---	6.462	---	---	---	
8/19/2020	09:48:04	24.00		250.83	---	---	---	19.000	---	---	---	1014.17	60.528	---	---	---	22.788	---	---	---	141.067	---	---	---	6.213	---	---	---	
8/19/2020	09:48:06	26.00		250.78	---	---	---	19.000	---	---	---	1014.17	60.528	---	---	---	22.790	---	---	---	141.090	---	---	---	6.092	---	---	---	
8/19/2020	09:48:08	28.00		251.06	---	---	---	19.000	---	---	---	1014.17	60.558	---	---	---	22.777	---	---	---	141.038	---	---	---	6.527	---	---	---	
8/19/2020	09:48:10	30.00		251.02	---	---	---	19.000	---	---	---	1014.14	60.558	---	---	---	22.780	---	---	---	140.987	---	---	---	6.099	---	---	---	
8/19/2020	09:48:12	32.00		251.62	---	---	---	19.000	---	---	---	1014.14	60.558	---	---	---	22.751	---	---	---	140.901	---	---	---	6.166	---	---	---	
8/19/2020	09:48:14	34.00		251.73	---	---	---	19.000	---	---	---	1014.14	60.558	---	---	---	22.747	---	---	---	140.762	---	---	---	6.004	---	---	---	
8/19/2020	09:48:16	36.00		251.99	---	---	---	19.000	---	---	---	1014.17	60.558	---	---	---	22.735	---	---	---	140.651	---	---	---	6.072	---	---	---	
8/19/2020	09:48:18	38.00		252.40	---	---	---	19.000	---	---	---	1014.17	60.581	---	---	---	22.716	---	---	---	140.561	---	---	---	6.433	---	---	---	
8/19/2020	09:48:20	40.00		252.74	---	---	---	19.000	---	---	---	1014.08	60.581	---	---	---	22.700	---	---	---	140.426	---	---	---	6.031	---	---	---	
8/19/2020	09:48:22	42.00		253.26	---	---	---	19.000	---	---	---	1014.26	60.581	---	---	---	22.676	---	---	---	140.291	---	---	---	6.200	---	---	---	
8/19/2020	09:48:24	44.00		253.54	---	---	---	19.000	---	---	---	1014.20	60.581	---	---	---	22.663	---	---	---	140.230	---	---	---	6.433	---	---	---	
