millis,temp,output
154,19.41,0.00
1152,19.41,72.35
2148,19.45,72.35
3145,19.45,78.28
4143,19.38,78.28
5140,19.45,78.28
6136,19.41,78.28
7134,19.41,72.35
8131,19.45,72.35
9128,19.41,72.35
10125,19.45,72.35
11122,19.41,72.35
12120,19.45,72.35
13117,19.45,78.28
14114,19.45,78.28
15112,19.41,72.35
16108,19.35,72.35
17105,19.24,42.82
18103,19.04,42.82
19100,18.91,0.00
20098,18.94,0.00
21094,18.81,0.00
22091,18.74,0.00
23089,18.64,0.00
24085,18.57,0.00
25082,18.47,0.00
26080,18.43,0.00
27077,18.40,0.00
28073,18.33,0.00
29071,18.33,0.00
30068,18.30,0.00
31066,18.27,0.00
32062,18.27,0.00
33059,18.23,0.00
34057,18.23,0.00
35054,18.23,0.00
36050,18.30,0.00
37048,18.27,0.00
38045,18.30,0.00
39043,18.30,0.00
40039,18.27,0.00
41036,18.37,0.00
42034,18.33,0.00
43031,18.33,0.00
44027,18.40,0.00
45025,18.43,0.00
46022,18.40,0.00
47019,18.43,0.00
48016,18.47,0.00
49013,18.47,0.00
50011,18.50,0.00
51007,18.47,0.00
52004,18.50,0.00
53002,18.54,0.00
53999,18.54,0.00
54995,18.57,0.00
55993,18.64,0.00
56990,18.57,0.00
57988,18.60,0.00
58984,18.60,0.00
59981,18.67,0.00
60979,18.67,0.00
61976,18.81,0.00
62972,18.91,0.00
63970,19.01,0.00
64967,19.04,7.37
65964,19.14,7.37
66961,19.21,36.90
67958,19.21,36.90
68956,19.38,66.46
69953,19.35,66.46
70950,19.45,78.28
71947,19.41,78.28
72944,19.45,78.28
73942,19.51,78.28
74939,19.51,90.10
75936,19.55,90.10
76933,19.58,101.91
77930,19.51,101.91
78927,19.48,84.17
79925,19.45,84.17
80922,19.48,84.17
81920,19.38,84.17
82916,19.28,48.72
83913,19.38,48.72
84911,19.24,42.82
85908,19.14,42.82
86905,19.08,13.30
87902,19.04,13.30
88899,18.97,0.00
89896,18.87,0.00
90894,18.87,0.00
91890,18.84,0.00
92888,18.74,0.00
93885,18.74,0.00
94882,18.67,0.00
95879,18.67,0.00
96876,18.67,0.00
97873,18.70,0.00
98871,18.64,0.00
99867,18.70,0.00
100865,18.67,0.00
101862,18.74,0.00
102859,18.74,0.00
103856,18.77,0.00
104853,18.84,0.00
105850,18.81,0.00
106848,18.87,0.00
107845,18.84,0.00
108841,18.87,0.00
109839,19.01,0.00
110836,19.01,1.44
111834,19.08,1.44
112831,19.08,13.30
113827,18.94,13.30
114825,19.14,25.08
115822,19.18,25.08
116819,19.21,36.90
