"octo","blue","red","delta_area","on1","off1","on2","delta_metab","mass","per","temp_cor"
1,3.184222222,1.68,1.504222222,78.97352626072,31.1654117875887,64.597037706035,40.6198701957887,136,27.0039024830925,15.5096691804144
3,0.9604285714,0.484,0.4764285714,42.3121121872064,10.8145415853417,29.5435124775559,25.1132707470394,59,52.7115128155378,30.2748140303067
6,1.281333333,0.8228,0.458533333,75.0184319270981,47.3563075928843,44.2629988687363,12.2844078050329,46,26.7906538542377,15.3871900058289
8,2.146222222,0.6823333333,1.463888889,88.6003625169019,31.6980720072471,69.5095488973784,47.356883699893,188,32.3500533788757,18.5802265501904
9,1.398111111,0.6193333333,0.7787777777,35.3110503318436,32.3926868431419,38.5288167460009,4.52724669578038,152,5.81327154602549,3.33884773103528
10,2.5975,0.449,2.1485,92.8449080063521,29.1863945456078,52.6674656626567,43.5697922888966,218,20.2791679259468,11.6473234186218
11,2.709,0.144,2.565,69.3092455353675,4.48866475542216,46.9422782965312,53.6370971605272,85,20.911148990459,12.0103012232191
12,4.0226,1.5945,2.4281,70.9160891466637,50.2320206254693,72.1375389173131,21.2947934065191,390,8.7701467841189,5.03712659199996
13,3.500875,1.409666667,2.091208333,94.1555679247724,37.3222273825289,71.8272037310394,45.6691584453771,189,21.8386459754878,12.5430083537027
16,0.931875,0.3153333333,0.6165416667,79.1691466338436,63.8946364561401,79.8335071883397,15.6066904549516,26.5,25.3132777521516,14.5386602567398
17,3.316333333,0.517,2.799333333,69.5404264195129,31.5950743693638,72.5830093148909,39.4666434978381,308,14.098586628675,8.09751163407111
